Feature1,Feature2,Feature3,Target
2,911597,50205.07114382336,92259.37556021805
4,87231,12471.493219733356,17170.697751388965
8,270458,38537.64976714787,68943.8489188642
9,20623,64336.553654660434,112227.66943020945
7,724035,78039.99957474983,138849.72248392776
1,491042,21720.988048211282,48699.61636774265
3,459298,13782.376133633623,25620.03358654047
9,477840,66304.23414584878,115234.04357394726
1,106228,188.08816450271166,7267.3399695614025
9,427346,17837.34059347455,37124.26344944143
8,708116,2907.2351272573387,10649.348692065192
1,885056,16688.595096975303,20454.34815904357
6,682652,18132.00986062253,42740.298537727984
5,899217,38767.42070767994,67453.39206335446
6,521547,40232.77223594312,76587.5373886614
5,873638,87426.25963477671,170438.08529568324
6,70274,51011.02023891127,102649.63717099337
5,134541,72340.50422075207,125407.3674699903
5,54947,10413.825378292951,11564.772495915948
4,678894,22543.953002493836,48082.295398728544
3,195692,70294.37380352359,127346.99790431246
3,49874,5280.490766456762,7034.413173111772
4,574996,48659.81756460908,90993.2623509916
9,75553,59936.93662939681,107136.86454561706
2,593632,60214.6041906837,112195.72422847438
9,836570,2293.378833523076,4908.2759394352015
1,710662,32210.868212118123,61949.833423453456
1,572926,63649.101455850294,110385.1821748486
5,79249,14900.058714950728,33997.04025257449
6,893297,69541.59529124049,129127.63687789507
6,528007,74592.54628884657,137780.0736669417
3,679250,98196.92084769548,171514.7328907919
7,471452,20984.278501441455,46526.58938581586
9,430725,82513.08425354476,148697.33365954921
8,43534,52029.70566220771,97339.48150412309
6,496518,37346.322268157724,65875.51676395086
8,617529,12237.763494842062,23665.184114126198
5,413003,73550.58709819311,134098.19503734465
8,127209,23585.83632860879,28442.45523147872
4,443061,37142.26304510438,70001.84460446204
8,190004,6254.316435514153,21203.4788925359
2,617412,80136.71144526033,147259.6878964284
5,616947,76658.87573831194,133520.9085845128
9,165134,73361.60964264824,135410.27218753626
4,76713,29944.421104837613,59247.7171395744
6,743623,17348.090078588295,34178.70622241087
1,489972,63755.36269169652,114637.00331290353
9,978965,49616.68879468353,88615.7762013107
1,76418,17825.328865217467,30895.252180557403
5,985176,68591.15851385926,127460.55783000274
4,129232,99112.64406948719,171443.7553497788
3,953336,74721.984052245,133125.87348976397
6,521551,73998.66466992251,141454.42102091527
2,164038,95031.28026178388,179315.29980409687
3,991049,20293.71646385346,29642.47869592792
5,931491,56555.03993714754,96622.74933054754
9,169383,97964.67353871684,175095.00097205062
2,819007,16529.494567606354,34631.5413072632
8,326996,70025.22591925616,117095.53288439615
2,259722,58581.05601617559,105307.71865452868
5,133079,58647.950570961475,103276.95474483243
7,203053,69767.09298494476,132333.11724432674
8,601530,92961.69932587614,159271.28141673078
1,179589,78258.21572693982,141420.28588595978
6,504238,5613.704728010659,8406.740323676218
1,30257,85272.81671476914,160858.1932179709
2,481488,22554.210438440266,43832.586020958726
1,436423,37691.47878222072,65136.79501170863
5,145353,46173.33518795685,87466.61205496774
9,324390,48090.651984706885,84808.22430592954
6,264579,43518.09640749575,83479.51158969112
1,230947,93735.33568625702,167656.69278083474
1,232758,70601.9301645017,132476.18618994686
2,616645,63117.10147860603,116105.5149371271
9,158732,4984.297794091377,25380.557432821595
3,923588,90391.34263470444,162910.73071538797
1,932011,90939.02826182042,166073.567829384
5,728955,78021.32832170388,138420.74477048733
7,609095,703.0196784415342,1604.4096249686552
6,439755,5728.119379737228,-2960.683287220194
1,903385,22522.447704478745,43323.018450766904
5,139563,13135.027679549856,30442.2023879368
5,784066,39883.66308676997,74180.77657918273
6,507047,92262.31354647316,159774.3805937648
3,706552,47206.096213656405,81324.31342103652
5,998899,1340.3613029539176,-9223.8607904643
7,911229,28274.64068330724,56265.58776428016
5,327032,4459.586377805317,3173.205016501669
5,598897,3628.858632587954,6702.851087597179
5,796509,27572.05773756991,49274.27056598974
3,773800,27561.30630666067,57444.88653028054
1,254973,78712.68154750015,142239.71987532897
5,284097,97483.46779464591,179671.7551308927
9,995423,37120.772268290435,70074.42040366109
1,377826,42888.74499741597,84188.71109515576
3,515257,84478.95914965852,151133.13649687055
4,855321,26813.975195649324,58052.892504691365
1,680181,15638.264802164354,18563.65636189926
1,431783,85308.97703140271,158062.41764653104
8,116374,4650.153993947905,4119.366145785569
2,550148,61969.98204999755,109363.29392609581
8,677555,56199.328547395926,104368.64021981784
7,602763,34592.11015812467,65395.190033863124
2,485090,31519.020590783784,60014.92213186117
6,874698,77185.79543238951,132458.99105777493
6,677787,8642.552433793571,23158.63903722463
3,888164,23678.507252707604,38571.15946373531
2,290227,73244.89993893579,128155.49793895845
1,743406,54832.103540584045,102261.97306388541
6,844804,12798.908054537786,22044.83062436181
5,649074,88213.57321464458,160665.27298917272
9,962568,39344.84531157449,60546.00207767015
1,533101,82786.85474537975,150707.51128927973
7,32598,78771.32278146931,142914.83940420582
5,506934,62442.582204628154,110115.82227950927
5,783239,49448.16368139616,79042.93432768913
2,618394,97955.08608309165,175570.31064215695
3,290226,14496.592741474466,26061.110635660974
7,816673,72515.60023953872,129121.27197951723
6,228286,19119.151027408752,25365.742527173265
2,438785,33826.376706924304,69086.54060904833
6,12745,30869.943467445184,52395.96310167946
2,813461,94703.60407027352,169768.19451187784
2,145097,96735.62104320974,162155.2947716861
2,233732,18301.62612192829,41040.06976296196
3,910827,2203.613826234389,2098.1687285516196
2,670648,72000.83196550734,130435.13562328422
4,614474,41799.051588055045,81161.21708258234
9,925044,8884.11562473193,13099.409100934346
6,885200,68375.4421822937,128352.62086506138
1,214030,54510.59831551714,87922.46468822515
8,725238,98051.68414842841,179634.58375502774
7,567134,22741.026845188306,49099.62615393721
3,339076,40397.847234867186,69992.5787866708
1,149554,54254.62608496195,103330.51205442351
5,286555,79170.01967533633,151833.92617657428
4,445191,54883.910788140194,97751.42572838225
8,454761,61290.05479617883,108885.8377038726
1,506518,22614.78254428891,36471.39885055852
1,341941,84691.88811698317,150070.71833464404
4,315451,42863.11183399287,73246.52734982407
8,921597,14096.048656214174,21362.13058904938
5,995762,66418.82503175028,126060.9425407073
2,285186,21609.12370948543,35095.385550632476
6,578218,9756.34126767895,19161.132855420226
5,773944,86198.70464173639,155750.8075312067
2,438629,46016.28043261751,90545.09209156713
3,769747,74928.39634120637,132749.20575389639
9,225695,29058.826921879525,54351.47619265476
7,885315,78697.03479475314,146073.6686419362
7,296900,11193.68150856033,27766.824752011504
6,54268,35597.40178214789,61531.69048263987
8,433430,97806.18399117106,173202.383840446
4,213943,79398.99223782898,137728.25225829193
8,784204,49725.64330587578,101103.75805481762
4,422818,33977.81317844135,68305.83491209637
8,709691,87213.58278867765,157152.28754805957
9,574189,54484.821423675654,108043.96881825147
